gas,equation,range,R**2 ,a,b,c,d,e,f,g,h
"all","Ra_from_Z","['Z/Rc',0.5,5.0]",0.976,2.5047,-2.7214,None,None,None,None,None,None
"all","Btheta_over_Bmaxo",None,0.967,0.0729,0.2069,-0.0165,-1.6238,0.8898,None,None,None
"all","T_over_Tmaxo","['R/(Ra*Pr)',0.0,1.0]",0.942,1.0017,0.0027,-0.3967,0.0508,-0.8219,1.4013,-0.5988,None
"all","Vz_over_Vmaxo",None,0.980,0.9802,-0.4537,0.0503,-0.5459,4.7656,None,None,None
"ar","local_max_at_Z__B","['Z/L',0.4,0.8]",0.985,-19.75,-0.0171,141.2,-485.6,352,-2,None,None
"he","local_max_at_Z__B","['Z/L',0.4,0.8]",0.975,-0.29,-1.42e-04,30.3,-11.009,0.91,2,None,None
"ar/he","local_max_at_Z__B","['Z/L',0.4,0.8]",0.984,2.507,-1.46e-03,-18.09,58.21,-1.27,-5.77,None,None
"ar","local_max_at_Z__T","['Z/L',0.3,0.8]",0.956,124.5,0.1153,-182.3,-4026.5,-1e-05,2,None,None
"he","local_max_at_Z__T","['Z/L',0.3,0.8]",0.977,77.1,0.0255,239.8,-917.7,2.95e-03,2,None,None
"ar/he","local_max_at_Z__T","['Z/L',0.3,0.8]",0.973,-5.192e08,6.464e05,2.042e09,-2.68e10,3.946e04,0.5,None,None
"ar","local_max_at_Z__V","['Z/L',0.4,0.8]",0.982,-1.16e04,-83.3,1.098e05,-6.081e05,126.75,0.622,None,None
"he","local_max_at_Z__V","['Z/L',0.4,0.8]",0.989,-1906,8.03,3.194e04,-4.151e05,4.75,0.828,None,None
"ar/he","local_max_at_Z__V","['Z/L',0.4,0.8]",0.973,2.9,-1.639,8145,-2.206e04,2.072,1,None,None
"ar","global_max__B",None,0.999,0.0256,1.1e-04,-0.5351,None,None,None,None,None
"he","global_max__B",None,0.994,0.3469,5.15e-04,-25.33,None,None,None,None,None
"ar/he","global_max__B",None,0.966,0.0383,1.14e-04,-1.76,None,None,None,None,None
"ar","global_max__T",None,0.989,17664,19.707,25868,None,None,None,None,None
"he","global_max__T",None,0.985,19185,8.2,5889,None,None,None,None,None
"ar/he","global_max__T",None,0.991,17559,16.877,5456,None,None,None,None,None
"ar","global_max__V",None,0.995,38.5,1.2967,1649,None,None,None,None,None
"he","global_max__V",None,0.995,31.1,3.92,889,None,None,None,None,None
"ar/he","global_max__V",None,0.998,-68.37,1.7867,-632,None,None,None,None,None
"all","q_over_qmax",None,0.994,1.002,0.0998,0.3187,-0.0398,4.8727,3.4483,4.8094,None
"all","J_over_Jmax",None,0.992,0.9998,-0.5885,0.2456,-0.0235,3.2408,3.8842,-0.0765,0.4916
"all","P_over_Pmax",None,0.994,1.012,-0.4788,0.1333,-0.0117,6.7892,4.0214,2.0132,None
"all","S_over_Smax",None,0.981,0.222,-0.211,-0.039,0.887,0.346,None,None,None
"ar","interaction_max__q",None,0.954,17.655,3.71e-03,-54.92,None,None,None,None,None
"he","interaction_max__q",None,0.988,18.618,5.23e-03,-133.24,None,None,None,None,None
"ar/he","interaction_max__q",None,0.978,17.468,6.16e-03,-73.90,None,None,None,None,None
"ar","interaction_max__J",None,0.962,15.961,1.79e-03,-98.32,None,None,None,None,None
"he","interaction_max__J",None,0.974,16.759,2.74e-03,-78.07,None,None,None,None,None
"ar/he","interaction_max__J",None,0.930,15.629,5.11e-03,-100.7,None,None,None,None,None
"ar","interaction_max__P",None,0.904,5.343,7.92e-03,-31.5,None,None,None,None,None
"he","interaction_max__P",None,0.997,4.445,0.0113,-115.6,None,None,None,None,None
"ar/he","interaction_max__P",None,0.992,4.576,9.78e-03,-83.7,None,None,None,None,None
"ar","interaction_max__S",None,0.975,-39.160,0.823,-5.679e+03,None,None,None,None,None
